# Name    ID Code  Mass         Charge  Spin
e-        11       0.000510999  -1      0.5 
e+        -11      0.000510999  1       0.5 
mu-       13       0.1056584    -1      0.5 
mu+       -13      0.1056584    1       0.5 
pi0       111      0.134976     0       0 
pi+       211      0.139570     1       0 
pi-       -211     0.139570     -1      0 
eta       221      0.54730      0       0 
eta'      331      0.95777      0       0 
rho0      113      0.7685       0       1 
rho+      213      0.7685       1       1 
rho-      -213     0.7685       -1      1  
K0        311      0.49767      0       0  
anti-K0   -311     0.49767      0       0 
K_S0      310      0.49767      0       0 
K_L0      130      0.49767      0       0 
K+        321      0.49368      1       0 
K-        -321     0.49368      -1      0 
D+        411      1.8693       1       0 
D-        -411     1.8693       -1      0 
D0        421      1.8645       0       0 
anti-D0   -421     1.8645       0       0 
D_s+      431      1.9686       1       0 
D_s-      -431     1.9686       -1      0 
B0        511      5.2794       0       0 
anti-B0   -511     5.2794       0       0 
B+        521      5.2791       1       0 
B-        -521     5.2791       -1      0 
J/psi     443      3.09687      0       1
